"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2022 HA4)","2022-May-07 02:04 ± < 00:01","0.02841","0.02815","12.97","12.96","25.3","24 m -   53 m","0"
"(2022 JC)","2022-May-08 03:24 ± < 00:01","0.01765","0.01759","6.24","6.21","24.9","28 m -   62 m","0"
"(2022 HF1)","2022-May-08 11:49 ± < 00:01","0.02255","0.02249","17.13","17.12","23.9","44 m -   99 m","0"
"(2022 HL3)","2022-May-08 23:52 ± < 00:01","0.03007","0.02992","11.75","11.74","24.2","39 m -   87 m","0"
"467460 (2006 JF42)","2022-May-09 00:13 ± < 00:01","0.03817","0.03817","11.31","11.30","19.3","370 m -  840 m","1"
"(2022 JM)","2022-May-09 20:41 ±    00:02","0.00253","0.00253","4.93","4.71","28.9","4.4 m -  9.9 m","0"
"(2019 JE)","2022-May-11 03:55 ±    06:52","0.01261","0.01225","7.22","7.19","26.2","15 m -   35 m","0"
"(2022 JQ)","2022-May-11 21:27 ±    00:07","0.02215","0.02180","25.14","25.14","24.6","32 m -   71 m","0"
"(2022 JR)","2022-May-12 08:07 ±    00:07","0.01872","0.01844","9.25","9.23","26.1","16 m -   36 m","0"
"(2022 JO)","2022-May-15 05:09 ±    00:17","0.02265","0.02253","7.69","7.68","25.8","18 m -   41 m","0"
"(2012 UX68)","2022-May-15 15:45 ±    22:16","0.00704","0.00586","8.20","8.15","24.1","40 m -   90 m","1"
"388945 (2008 TZ3)","2022-May-15 21:18 ± < 00:01","0.03838","0.03838","8.22","8.21","20.4","220 m -  490 m","1"
"(2013 UX)","2022-May-17 13:08 ± 5_05:07","0.04301","0.03594","16.31","16.31","22.0","110 m -  240 m","1"
"(2021 WY)","2022-May-18 22:55 ±    02:19","0.04331","0.04285","9.04","9.04","23.7","49 m -  110 m","0"
"(2022 HD1)","2022-May-20 13:52 ±    00:01","0.03919","0.03915","6.76","6.75","23.9","45 m -  100 m","0"
"7335 (1989 JA)","2022-May-27 14:26 ± < 00:01","0.02690","0.02690","13.12","13.11","17.6","1.8 km","2"
"(2021 KO2)","2022-May-30 03:59 ±    03:42","0.00792","0.00317","14.75","14.73","28.0","6.6 m -   15 m","0"
"(2022 HT2)","2022-May-30 21:29 ±    00:13","0.03055","0.03053","15.66","15.66","21.0","170 m -  380 m","1"
"(2020 DA4)","2022-Jun-01 12:43 ± 3_02:34","0.01404","0.01398","8.93","8.91","25.7","19 m -   43 m","0"
"(2021 GT2)","2022-Jun-06 05:34 ±    00:48","0.02426","0.02403","7.51","7.50","24.3","37 m -   83 m","0"
"(2018 LU2)","2022-Jun-09 05:01 ± 1_07:18","0.03785","0.01926","10.73","10.72","26.8","12 m -   26 m","0"
"(2006 XW4)","2022-Jun-12 04:48 ± 7_01:25","0.01504","0.00629","7.27","7.25","24.3","37 m -   82 m","1"
"(2022 GU6)","2022-Jun-12 12:05 ±    00:50","0.00808","0.00807","8.39","8.35","23.0","66 m -  150 m","2"
"(2015 WP2)","2022-Jun-26 07:55 ± 6_22:31","0.04733","0.01686","11.35","11.35","30.1","2.5 m -  5.7 m","0"